Sample ID,Gene Name,0894E,10763,24713,30862,36F37,668C5,74B28,94BFD,99EC2,A4A2E,117DD,1A5CC,1ED9C,24713-LV3,7EB7D,838CA,A3CD2,B2539,B367E,BDC56,E2C05,E5076,105A1,135D6,19A26,23EE4,24713-LV2,24BE8,39D8F,70146,7B6D3,98D38,BE497-LV1,C35CE,02B37,29B5D,5F02C,7CE52,978FA,B367E,B54F0-LV1,C472B,CEDF2,CF462,E4F33,14C39-LV,246D8-LV2,27D6D-LV2,31331-LV1,31331-LV3,32B32-LV2,59B77-LV2,6634F-LV2,78BBB-LV1,0A105-LV1,0A105-LV2,0A105-LV3,78BBB-LV2,78BBB-LV3,AF1FF-LV2,AFAA5-LV2,B23E3-LV2,B23E3-LV3,B25DF-LV2,B54F0,B8BE2-LV2,D6A67-LV2,DC737-LV2,EF5CB-LV2,43149-LV2,5F09B-LV2,1952B,80993-LV2,8E214-LV2,93EF1-LV2,98578-LV2,A7A62-LV2,C535E-LV2,D03B3-LV2,E1FF3-LV2,E344C-LV2,105A1-LV2,207EB-LV2,2E9CE-LV2,4E8C1-LV2,4EBAA-LV2,541DB-LV2,589A0-LV2,B1069-LV2,E9D4C-LV2,F2517-LV2,F3CE1-LV2,F8EE8-LV2
Positive,POS_A,24835,29069,26197,22148,29337,26559,28313,31373,27099,28385,12539,17592,19554,18689,15679,16863,14869,16640,14054,22606,15453,17071,17603,17399,16187,18428,18019,14806,15296,19333,15774,21831,16332,16359,24553,21514,19068,21229,20432,15944,21152,21930,20366,21391,23562,14372,12564,12520,15580,17508,14519,12649,13738,14850,14755,12976,19986,17759,16878,18665,20118,17565,17903,15812,17164,22502,20662,18026,19314,8657,3937,9943,2909,8874,5111,9306,8515,4816,12691,10117,6565,8943,10759,1141,3139,11135,3799,8250,4338,3132,6821,14658,5897
Positive,POS_B,6880,7486,7192,6003,7883,7168,7561,8075,7192,7509,3558,4966,5596,5205,4325,4764,4131,4649,4166,5737,4324,4883,5020,5080,4508,5242,5264,4189,4314,5445,4344,5891,4620,4970,6251,5398,4955,5569,5432,4353,5149,5522,5560,5673,6118,4017,3476,3642,4404,4907,4054,3656,4081,4402,4128,3527,5528,4726,4688,5163,5375,4786,4768,4341,4757,5877,5294,4701,5266,2471,1012,2794,768,2496,1354,2617,2335,1303,3303,2859,1708,2357,2736,207,861,2835,1002,1679,1110,793,1649,3703,1416
Positive,POS_C,1865,2079,1910,1699,2181,2060,2082,2285,2004,2187,1107,1393,1657,1480,1344,1466,1247,1392,1248,1574,1290,1379,1521,1466,1374,1584,1504,1314,1315,1596,1341,1798,1368,1413,1818,1699,1510,1680,1724,1339,1622,1653,1639,1591,1793,1332,1107,1124,1340,1426,1263,1121,1256,1272,1314,1096,1615,1527,1385,1518,1526,1399,1378,1350,1392,1703,1571,1431,1542,728,407,832,461,791,442,770,736,413,1003,836,535,700,881,70,294,915,377,505,402,281,547,1235,487
Positive,POS_D,509,566,495,432,530,513,523,601,487,566,235,358,451,391,337,348,324,338,326,405,321,354,408,389,337,365,373,330,359,394,333,472,377,370,457,438,381,421,438,332,401,387,372,421,473,323,279,266,346,418,322,293,291,311,301,290,438,388,370,371,431,346,372,315,352,434,398,395,393,170,92,209,90,215,129,205,198,85,279,216,150,162,193,14,62,216,87,148,96,74,124,292,120
Positive,POS_E,97,106,81,80,100,103,99,120,106,94,60,62,85,70,46,69,60,55,55,67,56,67,64,62,60,71,74,56,55,63,58,59,63,73,80,88,77,87,85,69,73,78,88,78,91,57,42,65,53,63,67,49,51,58,48,46,90,74,83,67,90,65,58,60,78,79,70,52,87,43,19,49,23,46,32,41,46,30,33,46,46,36,43,7,18,44,16,36,27,37,39,38,36
Positive,POS_F,67,59,62,47,64,64,66,82,70,68,39,30,41,46,39,36,36,44,50,45,32,44,49,43,35,53,41,41,36,47,44,36,39,42,47,65,52,51,49,41,40,46,62,53,40,39,33,22,30,43,28,36,45,38,36,28,48,38,41,40,52,38,63,25,42,41,50,50,60,34,13,34,4,33,27,45,29,19,22,23,24,35,31,7,18,32,27,17,19,15,24,57,19
Negative,NEG_A,11,10,17,15,12,16,10,13,9,14,5,10,9,11,7,12,4,6,19,11,9,14,12,12,8,6,12,8,8,21,8,6,5,15,12,10,11,12,13,11,11,9,17,13,16,16,13,7,5,11,10,7,15,9,7,15,11,9,14,13,8,17,9,8,9,9,7,9,10,15,12,3,4,12,10,20,9,20,11,3,10,17,11,4,8,15,9,18,13,8,6,5,19
Negative,NEG_B,16,21,7,10,18,12,13,24,16,12,7,8,13,7,4,5,6,6,15,9,7,14,8,6,5,16,9,14,8,7,7,15,6,10,4,10,8,5,8,6,9,5,20,5,22,6,1,7,11,8,10,9,8,6,6,13,8,7,11,6,7,11,11,6,6,16,8,7,14,10,10,3,2,9,14,18,7,10,7,12,16,12,4,1,11,7,15,7,9,8,15,4,28
Negative,NEG_C,2,2,1,1,3,5,1,1,3,1,2,3,2,3,1,2,1,1,4,1,1,2,2,1,4,1,3,2,3,2,2,1,1,1,1,1,2,2,1,2,1,2,2,6,2,1,4,1,4,1,2,2,1,1,1,1,1,2,1,1,1,1,1,3,2,3,1,1,1,1,2,1,1,1,3,2,1,1,1,1,2,1,1,1,2,3,3,2,2,1,4,1,3
Negative,NEG_D,1,1,4,2,1,3,3,2,2,1,4,1,3,2,3,3,5,1,3,1,1,2,3,2,2,1,3,1,2,2,1,3,5,1,2,2,1,1,2,3,4,2,6,4,7,2,1,4,2,2,2,3,2,1,1,2,3,4,2,3,1,2,4,1,3,3,1,3,2,2,6,1,4,2,5,1,1,7,4,3,6,2,2,3,9,2,11,4,12,6,5,1,3
